,Sample #,Date,Time,Lat ,Long,Distance from LT,Salinity,Temperature ,pH,DO (% sat) ,TA (umol kg) Corrected ,DIC (umol Kg) Density and standard corrected,DIN uM,PO4 uM,pCO2 IN uatm,Omega aragonite,Revelle IN,DO mg/L predicted at 100% saturatiion ,AOU (umol/L),Equilibrium DIC from CO2Sys TCO2 in (mmol/kgSW) assuming CO2=400 at observed sal temp and TA,Equilibrium CO2 in (mmol/kgSW) at observed sal temp and TA and CO2=400,Ecxcess DIC (umol/kg),Excess CO2 (umol/kg),,,NH4 uM,NOx uM,DOC (umol/L),DO (mg/L),,,,,TA SE,DIC SE,DOC SE,,pH in,fCO2 in (matm),pCO2 in (matm),HCO3 in (mmol/kgSW),CO3 in (mmol/kgSW),CO2 in (mmol/kgSW),B Alk in (mmol/kgSW),OH in (mmol/kgSW),P Alk in (mmol/kgSW),Si Alk in (mmol/kgSW) ,Revelle in,WCa in,WAr in,xCO2 in (dry at 1 atm) (ppm),,t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm)
One Tree Island,OTI_BT1_2,16/11/2017,1302,-23.506643,152.091408,2,35.8,27.8,8.24,142.1,2268.076361,2084.755344,2.370,0.405,814.5,2.23,12.057,6.416736184,147.6019943,1947.5,10.525701,137.290989,10.908118,,,1.638,0.7319,,11.14,,,,,1.315,0.252981,,,7.764,812.0,814.5,1923.8,139.548991,21.433819,59.8,4.648144,0.791980,0.0,12.057,3.35,2.23,845.1,,0.000,0.0,8.194,251.8,252.9,1941.1,127.9,15.8,69.7,0.8,0.8,0.0,12.764,3.05,1.92,254.4
One Tree Island,OTI_BT1_4,16/11/2017,1307,-23.506643,152.091408,4,35.9,27.4,8.24,140.4,2267.961137,2076.325353,2.856,0.479,767.5,2.30,11.834,6.455357831,145.7700678,1950.1,10.621625,126.236730,9.759313,,,1.908,0.9479,,11.12,,,,,1.315,0.252981,,,7.786,765.1,767.5,1911.8,144.163424,20.380938,62.1,4.730114,1.029355,0.0,11.834,3.46,2.30,795.6,,0.000,0.0,8.212,240.3,241.3,1928.8,132.5,15.0,72.3,0.8,1.0,0.0,12.478,3.16,1.99,242.8
One Tree Island,OTI_BT1_10,16/11/2017,1312,-23.506643,152.091408,10,35.9,28,8.24,161.5,2268.44203,2051.883169,2.324,0.426,683.1,2.55,11.155,6.392250055,193.9921858,1945.5,10.470381,106.389272,7.410420,,,1.568,0.7559,,12.6,,,,,1.315,0.252981,,,7.830,681.0,683.1,1874.4,159.585751,17.880800,68.5,5.509553,0.831034,0.0,11.155,3.83,2.55,709.0,,0.000,0.0,8.267,207.5,208.4,1891.4,147.6,13.0,80.2,0.9,0.8,0.0,11.689,3.52,2.22,209.7
One Tree Island,OTI_BT1_20,16/11/2017,1318,-23.506643,152.091408,20,35.8,27.5,8.23,139.9,2267.078245,2108.482465,2.134,0.403,931.2,2.00,12.807,6.448363773,143.1761321,1949.2,10.601538,159.306561,14.079397,,,1.528,0.6059,,11.03,,,,,1.315,0.252981,,,7.713,928.3,931.2,1958.8,125.001526,24.680935,53.6,4.025908,0.647430,0.0,12.807,3.00,2.00,965.5,,0.000,0.0,8.135,293.8,295.1,1976.5,113.6,18.4,62.1,0.7,0.6,0.0,13.689,2.71,1.71,296.8
One Tree Island,OTI_BT2_-0.5,11/17/17,0:30,-23.506643,152.091408,-0.5,36.6,23.7,7.97,89.0,2248.485734,2211.111615,31.991,1.04,2307.9,0.78,16.342,6.844476217,21.42261823,1960.4,11.604323,250.673138,55.348588,,,1.438,30.5529,,7.53,,,,,1.315,0.252981,,,7.338,2300.4,2307.9,2094.2,50.007020,66.952911,22.8,1.225684,30.308094,0.0,16.342,1.19,0.78,2375.2,,0.000,0.0,7.661,934.2,938.3,2111.5,41.5,58.2,23.8,0.2,30.1,0.0,18.592,0.99,0.62,943.9
One Tree Island,OTI_BT2_0,11/17/17,0:38,-23.506643,152.091408,0,35.3,23.8,7.82,55.0,2244.774662,2240.272687,30.011,1.17,2843.0,0.64,16.071,6.883829992,-70.11968725,1963.4,11.653815,276.897320,71.176439,,,1.658,28.3529,,4.64,,,,,1.315,0.252981,,,7.254,2833.8,2843.0,2116.9,40.579307,82.830254,18.1,0.996761,27.737967,0.0,16.071,0.97,0.64,2926.5,,0.000,0.0,7.564,1181.5,1186.7,2133.6,32.6,74.1,18.3,0.2,27.6,0.0,18.228,0.78,0.49,1193.8
One Tree Island,OTI_BT2_0.5,11/17/17,0:43,-23.506643,152.091408,0.5,36.5,23.3,7.93,49.6,2344.203739,2220.501098,5.841,0.653,1083.4,1.62,14.418,6.896287899,-83.00899685,2042.8,11.731154,177.670165,20.041549,,,1.688,4.1529,,4.24,,,,,1.315,0.252981,,,7.664,1079.8,1083.4,2085.1,103.627981,31.772703,45.0,2.497543,4.336927,0.0,14.418,2.46,1.62,1114.2,,0.000,0.0,8.019,407.8,409.6,2101.2,93.8,25.4,50.5,0.5,4.3,0.0,15.511,2.23,1.41,412.1
One Tree Island,OTI_BT2_1,11/17/17,0:47,-23.506643,152.091408,1,36.5,23.3,8.09,70.5,2282.261929,2139.754982,3.851,0.463,909.2,1.77,13.552,6.896287899,-27.38399685,1992.4,11.731154,147.361916,14.932815,,,1.888,1.9629,,6.02,,,,,1.315,0.252981,,,7.722,906.2,909.2,1999.5,113.556089,26.663969,50.7,2.853937,2.070305,0.0,13.552,2.69,1.77,935.0,,0.000,0.0,8.080,339.0,340.5,2014.8,103.8,21.1,57.2,0.6,2.0,0.0,14.404,2.47,1.55,342.6
One Tree Island,OTI_BT2_2,11/17/17,0:52,-23.506643,152.091408,2,36.4,23.2,8.10,71.0,2278.973266,2129.987091,3.701,0.439,865.0,1.83,13.333,6.912342941,-26.32321691,1991.1,11.767885,138.906037,13.680884,,,1.828,1.8729,,6.07,,,,,1.315,0.252981,,,7.740,862.2,865.0,1987.4,117.167984,25.448769,52.4,2.948361,1.981606,0.0,13.333,2.78,1.83,889.5,,0.000,0.0,8.099,322.9,324.4,2002.5,107.4,20.1,59.1,0.6,1.9,0.0,14.124,2.56,1.61,326.3
One Tree Island,OTI_BT2_4,11/17/17,0:57,-23.506643,152.091408,4,36.5,23.5,8.15,65.2,2272.012406,2118.973405,3.311,0.457,848.5,1.87,13.145,6.872270953,-41.63346729,1982.4,11.670521,136.598161,13.086973,,,1.918,1.3929,,5.54,,,,,1.315,0.252981,,,7.747,845.8,848.5,1974.6,119.657527,24.757494,53.6,3.078642,1.476565,0.0,13.145,2.84,1.87,873.0,,0.000,0.0,8.110,312.7,314.1,1989.8,109.7,19.5,60.7,0.7,1.4,0.0,13.910,2.61,1.64,316.0
